

ATOP - runnervmzvulz  2026/08/16  20:20:04  -----------------    2h3m58s elapsed
PRC | sys   35.82s | user  28.05s | #proc    220 | #tidle    88 | no  procacct |
CPU | sys      51% | user     66% | irq       0% | idle    284% | wait      0% |
cpu | sys      17% | user     21% | irq       0% | idle     62% | cpu003 w  0% |
cpu | sys      11% | user     15% | irq       0% | idle     73% | cpu002 w  0% |
cpu | sys      10% | user     17% | irq       0% | idle     73% | cpu000 w  0% |
cpu | sys      13% | user     11% | irq       0% | idle     76% | cpu001 w  0% |
CPL | numcpu     4 | avg1    1.04 | avg5    0.78 | csw     4584 | intr    5287 |
MEM | tot    15.6G | free    4.0G | avail  14.1G | cache   8.8G | slab    1.1G |
MEM | numnode    1 | shmem  51.6M | pgtab   2.8M | anthp 312.0M | zfarc   0.0M |
SWP | tot     3.0G | free    3.0G | swcac   0.0M | vmcom   2.9G | vmlim  10.8G |
PAG | numamig    0 | migrate    0 | pgin       0 | pgout      4 | oomkill    0 |
DSK |            0 | busy      0% | read       0 | write      1 | avio  0.0 ns |
NET | transport    | tcpi      15 | tcpo      21 | udpi       0 | udpo       0 |
NET | network      | ipi       15 | ipo       20 | ipfrw      0 | deliv     15 |
NET | 1         0% | pcki      16 | pcko      20 | si    0 Kbps | so    0 Kbps |
NET | 2         0% | pcki       1 | pcko      21 | si    0 Kbps | so    0 Kbps |

    PID SYSCPU USRCPU BDELAY  VGROW  RGROW  RDDSK  WRDSK  CPU CMD            
    928  0.06s  0.23s  0.00s  38.6M  30.5M     0B     0B  29% python3        
1120148  0.13s  0.13s  0.00s  35.5M  21.0M     0B     0B  26% python3        
 866067  0.26s  0.00s  0.00s     0B     0B     0B     0B  26% kworker/0:3-cg 
1120146  0.18s  0.07s  0.00s  13.8M   5.7M     0B     0B  25% pmdasample     
 776319  0.22s  0.00s  0.00s     0B     0B     0B     0B  22% kworker/3:0-cg 
1120145  0.15s  0.06s  0.00s  13.8M   5.2M     0B     0B  21% pmdaxfs        
 908411  0.21s  0.00s  0.00s     0B     0B     0B     0B  21% kworker/2:0-cg 
     49  0.03s  0.17s  0.00s     0B     0B     0B     0B  20% kcompactd0     
   1035  0.05s  0.14s  0.00s  19.9M  11.0M     0B     0B  19% systemd        
1120153  0.13s  0.06s  0.00s  15.2M   5.8M     0B     0B  19% pmdadm         
 834541  0.19s  0.00s  0.00s     0B     0B     0B     0B  19% kworker/u16:4- 
 253242  0.04s  0.14s  0.00s  19.7M  10.8M     0B     0B  18% systemd        
1120167  0.13s  0.05s  0.00s  13.7M   5.6M     0B     0B  18% pmdasimple     
1120152  0.13s  0.05s  0.00s  13.8M   5.4M     0B     0B  18% pmdakvm        
     89  0.16s  0.00s  0.00s     0B     0B     0B     0B  16% hv_balloon     
   9091  0.00s  0.14s  0.00s     0B     0B     0B     0B  14% arc_evict      
   9092  0.00s  0.14s  0.00s     0B     0B     0B     0B  14% arc_reap       
 782390  0.12s  0.02s  0.00s     0B     0B     0B     0B  14% kworker/1:0-cg 
   9094  0.13s  0.00s  0.00s     0B     0B     0B     0B  13% dbuf_evict     
    907  0.02s  0.08s  0.00s  31.8M  20.2M     0B     0B  10% networkd-dispa 
   9096  0.00s  0.10s  0.00s     0B     0B     0B     0B  10% l2arc_feed     
1056341  0.10s  0.00s  0.00s     0B     0B     0B     0B  10% kworker/3:3-ev 
   1089  0.07s  0.02s  0.00s 422.8M  12.4M     0B     0B   9% ModemManager   
    999  0.09s  0.00s  0.00s   6.0M   2.0M     0B     0B   9% agetty         
    396  0.00s  0.08s  0.00s   3.8M   2.6M     0B     0B   8% hv_kvp_daemon  
1103671  0.04s  0.04s  0.00s   1.7G  28.6M     0B     0B   8% libvirtd       
1126917  0.07s  0.01s  0.00s   2.7M   1.8M     0B     0B   8% pmlogcompress  
     71  0.08s  0.00s  0.00s     0B     0B     0B     0B   8% kworker/2:1H-k 
    923  0.04s  0.03s  0.00s 506.0M  13.2M     0B     0B   7% udisksd        
 267990  0.07s  0.00s  0.00s   6.0M   1.6M     0B     0B   7% tee            
     88  0.06s  0.00s  0.00s     0B     0B     0B     0B   6% kworker/1:1H-k 
    149  0.06s  0.00s  0.00s     0B     0B     0B     0B   6% kworker/3:1H-k 
    736  0.03s  0.02s  0.00s  18.7M   9.2M     0B     0B   5% systemd-networ 
1024580  0.05s  0.00s  0.00s     0B     0B     0B     0B   5% kworker/2:3-ev 
1030240  0.05s  0.00s  0.00s     0B     0B     0B     0B   5% kworker/0:1-ev 
   8720  0.03s  0.01s  0.00s  33.4M  21.3M     0B     0B   4% unbound        
    135  0.04s  0.00s  0.00s     0B     0B     0B     0B   4% kworker/0:1H-k 
 267987  0.00s  0.03s  0.00s  22.5M  15.3M     0B     0B   3% python3        
  11686  0.02s  0.01s  0.00s  70.1M  14.9M     0B     0B   3% virtlogd       
1128105  0.00s  0.03s  0.00s  17.1M   8.2M     0B     0B   3% pcp-atop       
  10252  0.01s  0.01s  0.00s  41.9M   4.6M     0B     0B   2% master         
    948  0.01s  0.00s  0.00s   7.1M   2.7M     0B     0B   1% cron           
1126468  0.01s  0.00s  0.00s   3.0M   1.8M     0B     0B   1% pmlogger_check 
1126809  0.01s  0.00s  0.00s   3.0M   1.4M     0B     0B   1% pmlogger_daily 
     15  0.01s  0.00s  0.00s     0B     0B     0B     0B   1% rcu_sched      
   2068  0.00s  0.00s  0.00s   1.4G 130.1M     0B     0B   0% provjobd275434 
    902  0.00s  0.00s  0.00s  10.0M   5.5M     0B     0B   0% dbus-daemon    
   1407  0.00s  0.00s  0.00s 288.9M  20.7M     0B     0B   0% php-fpm8.3     
   1408  0.00s  0.00s  0.00s 288.9M  20.7M     0B     0B   0% php-fpm8.3     
  11683  0.00s  0.00s  0.00s  70.1M  14.9M     0B     0B   0% virtlockd      
      1  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% systemd        
 894986  0.00s  0.00s  0.00s  42.5M   7.7M     0B     0B   0% pickup         
  10254  0.00s  0.00s  0.00s  42.3M   7.6M     0B     0B   0% qmgr           
 267989  0.00s  0.00s  0.00s  16.9M   7.3M     0B     0B   0% sudo           
   2065  0.00s  0.00s  0.00s  16.8M   6.8M     0B     0B   0% sudo           
  10913  0.00s  0.00s  0.00s 123.7M   5.5M     0B     0B   0% zed            
1120702  0.00s  0.00s  0.00s  13.6M   4.4M     0B     0B   0% pmpause        
   1123  0.00s  0.00s  0.00s  20.7M   3.4M     0B     0B   0% (sd-pam)       
 253258  0.00s  0.00s  0.00s  20.7M   3.4M     0B     0B   0% (sd-pam)       
 267988  0.00s  0.00s  0.00s   7.6M   3.4M     0B     0B   0% bash           
 267986  0.00s  0.00s  0.00s   7.6M   3.3M     0B     0B   0% bash           
1127847  0.00s  0.00s  0.00s   3.1M   2.2M     0B     0B   0% 1079           
  11537  0.00s  0.00s  0.00s  11.2M   2.2M     0B     0B   0% dnsmasq        
    967  0.00s  0.00s  0.00s   6.0M   2.1M     0B     0B   0% agetty         
1126665  0.00s  0.00s  0.00s   3.0M   2.0M     0B     0B   0% pmlogger_daily 
1127845  0.00s  0.00s  0.00s   6.0M   1.9M     0B     0B   0% timeout        
1126916  0.00s  0.00s  0.00s 188.0K  -0.2M     0B     0B   0% xargs          
   1037  0.00s  0.00s  0.00s  10.8M   1.2M     0B     0B   0% chronyd        
  11538  0.00s  0.00s  0.00s  11.2M   1.1M     0B     0B   0% dnsmasq        
      2  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kthreadd       
      3  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% pool_workqueue 
      4  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-rcu_ 
      5  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-sync 
      6  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kvfr 
      7  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-slub 
      8  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-netn 
     10  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/0:0H-e 
     13  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mm_p 
     14  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksoftirqd/0    
     16  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_exp_par_gp 
     17  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_exp_gp_kth 
     18  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% migration/0    
     19  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/0  
     20  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/0        
     21  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/2        
     22  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/2  
     23  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% migration/2    
     24  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksoftirqd/2    
     26  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/2:0H-e 
     27  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/1        
     28  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/1  
     32  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:0H-e 
     33  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/3        
     34  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/3  
     38  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/3:0H-e 
     39  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kdevtmpfs      
     40  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-inet 
     41  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_tasks_rude 
     42  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_tasks_trac 
     43  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kauditd        
     44  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% khungtaskd     
     46  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% oom_reaper     
     48  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-writ 
     50  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksmd           
     52  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kblo 
     53  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-blkc 
     54  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kint 
     55  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% irq/9-acpi     
     59  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-tpm_ 
     60  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ata_ 
     61  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-md   
     62  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-md_b 
     63  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-edac 
     64  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_v 
     65  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_v 
     66  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_p 
     67  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_s 
     68  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-devf 
     69  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% watchdogd      
     70  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-quot 
     72  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kswapd0        
     73  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ecryptfs-kthre 
     74  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kthr 
     75  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nfit 
     76  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% scsi_eh_0      
     77  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% scsi_eh_1      
     78  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-scsi 
     79  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-scsi 
     80  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     81  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     82  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     83  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     86  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mld  
     87  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ipv6 
     90  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kstr 
     92  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u17:0  
    104  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ext4 
    177  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kmpa 
    178  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kmpa 
    238  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% psimon         
    373  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-tls- 
    382  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    383  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    384  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    385  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    386  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ptp1           
    387  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    388  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    389  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    397  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    398  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib-c 
    399  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib-c 
    400  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib_m 
    401  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib_n 
    436  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mkey 
    447  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% jbd2/sda16-8   
    448  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ext4 
   8884  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-targ 
   9082  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% spl_system_tas 
   9083  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% spl_delay_task 
   9084  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% spl_dynamic_ta 
   9085  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% spl_kmem_cache 
   9088  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% zvol_tq-0      
   9089  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% arc_prune      
   9090  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% arc_flush      
   9093  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% dbu_evict      
   9095  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% z_vdev_file    
 618961  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:3-ev 
 976202  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u16:0- 
1022919  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-xfsa 
1022920  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-xfs_ 
1024922  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/0:0-ev 
1082425  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:1-cg 
1083766  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u16:3- 
1087014  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u16:5  
1105300  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/0:2-cg 
1111323  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:2-ev 
1113151  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/2:1-cg 
1115591  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% psimon         
1118565  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/3:1-ev 
1128607  0.00s  0.00s  0.00s     0B     0B     0B     0B   0%                
