_prepare_pmda(agent=sockets, names=sockets) __install_on_cleanup=false
Updating the Performance Metrics Name Space (PMNS) ...
Terminate PMDA if already installed ...
    inst [147 or "tcp/127.0.0.1:54942<->127.0.0.1:54322"] value 0
    inst [148 or "tcp/127.0.0.1:54622<->127.0.0.1:54322"] value 0
    inst [154 or "tcp/127.0.0.1:54438<->127.0.0.1:54322"] value 0
    inst [161 or "tcp/127.0.0.1:55018<->127.0.0.1:54322"] value 0
    inst [165 or "tcp/127.0.0.1:54646<->127.0.0.1:54322"] value 0
    inst [168 or "tcp/127.0.0.1:54718<->127.0.0.1:54322"] value 0
    inst [171 or "tcp/127.0.0.1:54732<->127.0.0.1:54322"] value 0
    inst [173 or "tcp/127.0.0.1:54808<->127.0.0.1:54322"] value 0
    inst [182 or "tcp/127.0.0.1:54854<->127.0.0.1:54322"] value 0
    inst [185 or "tcp/127.0.0.1:55012<->127.0.0.1:54322"] value 0
    inst [186 or "tcp/127.0.0.1:54500<->127.0.0.1:54322"] value 0
    inst [188 or "tcp/127.0.0.1:54668<->127.0.0.1:54322"] value 0
    inst [189 or "tcp/127.0.0.1:54764<->127.0.0.1:54322"] value 0
    inst [193 or "tcp/127.0.0.1:54472<->127.0.0.1:54322"] value 0
    inst [196 or "tcp/127.0.0.1:54600<->127.0.0.1:54322"] value 0
    inst [203 or "tcp/127.0.0.1:54960<->127.0.0.1:54322"] value 0
    inst [210 or "tcp/127.0.0.1:54994<->127.0.0.1:54322"] value 0
    inst [212 or "tcp/127.0.0.1:54508<->127.0.0.1:54322"] value 0
    inst [215 or "tcp/127.0.0.1:54390<->127.0.0.1:54322"] value 0
    inst [218 or "tcp/127.0.0.1:54574<->127.0.0.1:54322"] value 0
    inst [219 or "tcp/127.0.0.1:54382<->127.0.0.1:54322"] value 0
    inst [222 or "tcp/127.0.0.1:54536<->127.0.0.1:54322"] value 0
    inst [235 or "tcp/127.0.0.1:54822<->127.0.0.1:54322"] value 0
    inst [237 or "tcp/127.0.0.1:54682<->127.0.0.1:54322"] value 0
    inst [239 or "tcp/127.0.0.1:54376<->127.0.0.1:54322"] value 0
    inst [241 or "tcp/127.0.0.1:54766<->127.0.0.1:54322"] value 0
    inst [244 or "tcp/127.0.0.1:54926<->127.0.0.1:54322"] value 0
    inst [255 or "tcp/127.0.0.1:54434<->127.0.0.1:54322"] value 0
    inst [260 or "tcp/127.0.0.1:54892<->127.0.0.1:54322"] value 0
    inst [262 or "tcp/127.0.0.1:54782<->127.0.0.1:54322"] value 0
    inst [269 or "tcp/127.0.0.1:54522<->127.0.0.1:54322"] value 0
    inst [279 or "tcp/127.0.0.1:54392<->127.0.0.1:54322"] value 0
    inst [283 or "tcp/127.0.0.1:6379<->127.0.0.1:48428"] value 0
    inst [284 or "tcp/127.0.0.1:54866<->127.0.0.1:54322"] value 0
    inst [286 or "tcp/127.0.0.1:48428<->127.0.0.1:6379"] value 0
    inst [287 or "tcp/127.0.0.1:54628<->127.0.0.1:54322"] value 0
    inst [288 or "tcp/127.0.0.1:54830<->127.0.0.1:54322"] value 0
    inst [298 or "tcp/127.0.0.1:54660<->127.0.0.1:54322"] value 0
    inst [299 or "tcp/127.0.0.1:54692<->127.0.0.1:54322"] value 0
    inst [303 or "tcp/127.0.0.1:54836<->127.0.0.1:54322"] value 0
    inst [306 or "tcp/127.0.0.1:54442<->127.0.0.1:54322"] value 0
    inst [308 or "tcp/127.0.0.1:54712<->127.0.0.1:54322"] value 0
    inst [311 or "tcp/127.0.0.1:54586<->127.0.0.1:54322"] value 0
    inst [321 or "tcp/127.0.0.1:54908<->127.0.0.1:54322"] value 0
    inst [323 or "tcp/127.0.0.1:54834<->127.0.0.1:54322"] value 0
    inst [328 or "tcp/127.0.0.1:54362<->127.0.0.1:54322"] value 0
    inst [330 or "tcp/127.0.0.1:54454<->127.0.0.1:54322"] value 0
    inst [331 or "tcp/127.0.0.1:54884<->127.0.0.1:54322"] value 0
    inst [332 or "tcp/127.0.0.1:54662<->127.0.0.1:54322"] value 0
    inst [334 or "tcp/127.0.0.1:54532<->127.0.0.1:54322"] value 0
    inst [336 or "tcp/127.0.0.1:54840<->127.0.0.1:54322"] value 0
    inst [337 or "tcp/127.0.0.1:55020<->127.0.0.1:54322"] value 0
    inst [341 or "tcp/127.0.0.1:54714<->127.0.0.1:54322"] value 0
    inst [352 or "tcp/127.0.0.1:54950<->127.0.0.1:54322"] value 0
    inst [354 or "tcp/127.0.0.1:54568<->127.0.0.1:54322"] value 0
    inst [356 or "tcp/127.0.0.1:54896<->127.0.0.1:54322"] value 0
    inst [362 or "tcp/127.0.0.1:54550<->127.0.0.1:54322"] value 0
    inst [365 or "tcp/127.0.0.1:54564<->127.0.0.1:54322"] value 0
    inst [366 or "tcp/127.0.0.1:54674<->127.0.0.1:54322"] value 0
    inst [372 or "tcp6/[::1]:6379<->[::]:*"] value 1
    inst [373 or "tcp6/[::]:4330<->[::]:*"] value 1
    inst [374 or "tcp6/[::]:54323<->[::]:*"] value 1
    inst [375 or "tcp6/[::]:54321<->[::]:*"] value 1
    inst [376 or "tcp6/[::]:44323<->[::]:*"] value 1
    inst [377 or "tcp6/[::]:44322<->[::]:*"] value 1
    inst [378 or "tcp6/[::]:44321<->[::]:*"] value 1
    inst [379 or "tcp6/[::]:25<->[::]:*"] value 1
    inst [380 or "tcp6/[::]:22<->[::]:*"] value 1
    inst [381 or "tcp6/[::1]:8953<->[::]:*"] value 1
    inst [382 or "tcp6/[::]:10050<->[::]:*"] value 1
    inst [383 or "tcp6/[::1]:53<->[::]:*"] value 1
    inst [387 or "tcp/[::ffff:10.1.0.218]:42354<->[::ffff:20.22.98.201]:443"] value 0
    inst [388 or "tcp/[::ffff:10.1.0.218]:53146<->[::ffff:20.185.75.138]:443"] value 0
    inst [390 or "tcp/[::ffff:10.1.0.218]:59118<->[::ffff:20.185.75.138]:443"] value 0
    inst [391 or "tcp/[::ffff:10.1.0.218]:58478<->[::ffff:20.94.100.174]:443"] value 0
    inst [392 or "tcp/[::ffff:10.1.0.218]:42366<->[::ffff:20.22.98.201]:443"] value 0
    inst [393 or "tcp/[::ffff:10.1.0.218]:33164<->[::ffff:140.82.112.21]:443"] value 0
    inst [394 or "tcp/[::ffff:10.1.0.218]:45906<->[::ffff:20.85.130.105]:443"] value 0
    inst [395 or "tcp/[::ffff:10.1.0.218]:41916<->[::ffff:20.185.75.138]:443"] value 0
    inst [401 or "tcp/[::ffff:10.1.0.218]:59640<->[::ffff:20.94.100.174]:443"] value 0
pmNameIndom: indom=154.0 inst=402: Unknown or illegal instance identifier
    inst [402] value 0
_wait_for_pmlogger() success at iter 1 ...
Connected to primary pmlogger at local:
pmlogger [primary] on host local: is logging metrics from host fv-az2028-689
PMCD host        fv-az2028-689
log started      Tue Dec 24 20:53:22.277654532 2024 (times in local time)
last log entry   Tue Dec 24 20:53:22.780987539 2024
current time     Tue Dec 24 20:53:23.784758097 2024
log volume       0
log size         171248
_cleanup_pmda(sockets,) remove PMDA
_wait_for_pmlogger() success at iter 0 ...
Connected to primary pmlogger at local:
pmlogger [primary] on host local: is logging metrics from host fv-az2028-689
PMCD host        fv-az2028-689
log started      Tue Dec 24 20:53:22.277654532 2024 (times in local time)
last log entry   Tue Dec 24 20:53:22.780987539 2024
current time     Tue Dec 24 20:53:24.146857252 2024
log volume       0
log size         171248
