host1=d7f4eda67446
host2=d7f4eda67446super
=== /etc/hosts ===
# Hacked for QA/430
#
10.88.0.6	d7f4eda67446 pcp-ci-debian11-container
0.127.191.0	pcpqa-056.sgi.com
0.127.191.1	pcpqa-057.sgi.com
0.127.191.127	pcpqa-058.sgi.com
0.127.191.254	pcpqa-059.sgi.com
0.127.64.0	pcpqa-060.sgi.com
0.127.64.1	pcpqa-061.sgi.com
0.127.64.127	pcpqa-062.sgi.com
0.127.64.254	pcpqa-063.sgi.com
37.0.0.0	pcpqa-064.sgi.com
37.0.0.1	pcpqa-065.sgi.com
37.0.0.127	pcpqa-066.sgi.com
37.0.0.254	pcpqa-067.sgi.com
37.0.15.0	pcpqa-068.sgi.com
37.0.15.1	pcpqa-069.sgi.com
37.0.15.127	pcpqa-070.sgi.com
37.0.15.254	pcpqa-071.sgi.com
37.0.191.0	pcpqa-072.sgi.com
37.0.191.1	pcpqa-073.sgi.com
37.0.191.127	pcpqa-074.sgi.com
37.0.191.254	pcpqa-075.sgi.com
37.0.64.0	pcpqa-076.sgi.com
37.0.64.1	pcpqa-077.sgi.com
37.0.64.127	pcpqa-078.sgi.com
37.0.64.254	pcpqa-079.sgi.com
37.201.0.0	pcpqa-080.sgi.com
37.201.0.1	pcpqa-081.sgi.com
37.201.0.127	pcpqa-082.sgi.com
37.201.0.254	pcpqa-083.sgi.com
37.201.15.0	pcpqa-084.sgi.com
37.201.15.1	pcpqa-085.sgi.com
37.201.15.127	pcpqa-086.sgi.com
37.201.15.254	pcpqa-087.sgi.com
37.201.191.0	pcpqa-088.sgi.com
37.201.191.1	pcpqa-089.sgi.com
37.201.191.127	pcpqa-090.sgi.com
37.201.191.254	pcpqa-091.sgi.com
37.201.64.0	pcpqa-092.sgi.com
37.201.64.1	pcpqa-093.sgi.com
37.201.64.127	pcpqa-094.sgi.com
37.201.64.254	pcpqa-095.sgi.com
37.77.0.0	pcpqa-096.sgi.com
37.77.0.1	pcpqa-097.sgi.com
37.77.0.127	pcpqa-098.sgi.com
37.77.0.254	pcpqa-099.sgi.com
37.77.15.0	pcpqa-100.sgi.com
37.77.15.1	pcpqa-101.sgi.com
37.77.15.127	pcpqa-102.sgi.com
37.77.15.254	pcpqa-103.sgi.com
37.77.191.0	pcpqa-104.sgi.com
37.77.191.1	pcpqa-105.sgi.com
37.77.191.127	pcpqa-106.sgi.com
37.77.191.254	pcpqa-107.sgi.com
37.77.64.0	pcpqa-108.sgi.com
37.77.64.1	pcpqa-109.sgi.com
37.77.64.127	pcpqa-110.sgi.com
37.77.64.254	pcpqa-111.sgi.com
37.127.0.0	pcpqa-112.sgi.com
37.127.0.1	pcpqa-113.sgi.com
37.127.0.127	pcpqa-114.sgi.com
37.127.0.254	pcpqa-115.sgi.com
37.127.15.0	pcpqa-116.sgi.com
37.127.15.1	pcpqa-117.sgi.com
37.127.15.127	pcpqa-118.sgi.com
37.127.15.254	pcpqa-119.sgi.com
37.127.191.0	pcpqa-120.sgi.com
37.127.191.1	pcpqa-121.sgi.com
37.127.191.127	pcpqa-122.sgi.com
37.127.191.254	pcpqa-123.sgi.com
37.127.64.0	pcpqa-124.sgi.com
37.127.64.1	pcpqa-125.sgi.com
37.127.64.127	pcpqa-126.sgi.com
37.127.64.254	pcpqa-127.sgi.com
235.0.0.0	pcpqa-128.sgi.com
235.0.0.1	pcpqa-129.sgi.com
235.0.0.127	pcpqa-130.sgi.com
235.0.0.254	pcpqa-131.sgi.com
235.0.15.0	pcpqa-132.sgi.com
235.0.15.1	pcpqa-133.sgi.com
235.0.15.127	pcpqa-134.sgi.com
235.0.15.254	pcpqa-135.sgi.com
235.0.191.0	pcpqa-136.sgi.com
235.0.191.1	pcpqa-137.sgi.com
235.0.191.127	pcpqa-138.sgi.com
235.0.191.254	pcpqa-139.sgi.com
235.0.64.0	pcpqa-140.sgi.com
235.0.64.1	pcpqa-141.sgi.com
235.0.64.127	pcpqa-142.sgi.com
235.0.64.254	pcpqa-143.sgi.com
235.201.0.0	pcpqa-144.sgi.com
235.201.0.1	pcpqa-145.sgi.com
235.201.0.127	pcpqa-146.sgi.com
235.201.0.254	pcpqa-147.sgi.com
235.201.15.0	pcpqa-148.sgi.com
235.201.15.1	pcpqa-149.sgi.com
235.201.15.127	pcpqa-150.sgi.com
235.201.15.254	pcpqa-151.sgi.com
235.201.191.0	pcpqa-152.sgi.com
235.201.191.1	pcpqa-153.sgi.com
235.201.191.127	pcpqa-154.sgi.com
235.201.191.254	pcpqa-155.sgi.com
235.201.64.0	pcpqa-156.sgi.com
235.201.64.1	pcpqa-157.sgi.com
235.201.64.127	pcpqa-158.sgi.com
235.201.64.254	pcpqa-159.sgi.com
235.77.0.0	pcpqa-160.sgi.com
235.77.0.1	pcpqa-161.sgi.com
235.77.0.127	pcpqa-162.sgi.com
235.77.0.254	pcpqa-163.sgi.com
235.77.15.0	pcpqa-164.sgi.com
235.77.15.1	pcpqa-165.sgi.com
235.77.15.127	pcpqa-166.sgi.com
235.77.15.254	pcpqa-167.sgi.com
235.77.191.0	pcpqa-168.sgi.com
235.77.191.1	pcpqa-169.sgi.com
235.77.191.127	pcpqa-170.sgi.com
235.77.191.254	pcpqa-171.sgi.com
235.77.64.0	pcpqa-172.sgi.com
235.77.64.1	pcpqa-173.sgi.com
235.77.64.127	pcpqa-174.sgi.com
235.77.64.254	pcpqa-175.sgi.com
235.127.0.0	pcpqa-176.sgi.com
235.127.0.1	pcpqa-177.sgi.com
235.127.0.127	pcpqa-178.sgi.com
235.127.0.254	pcpqa-179.sgi.com
235.127.15.0	pcpqa-180.sgi.com
235.127.15.1	pcpqa-181.sgi.com
235.127.15.127	pcpqa-182.sgi.com
235.127.15.254	pcpqa-183.sgi.com
235.127.191.0	pcpqa-184.sgi.com
235.127.191.1	pcpqa-185.sgi.com
235.127.191.127	pcpqa-186.sgi.com
235.127.191.254	pcpqa-187.sgi.com
235.127.64.0	pcpqa-188.sgi.com
235.127.64.1	pcpqa-189.sgi.com
235.127.64.127	pcpqa-190.sgi.com
235.127.64.254	pcpqa-191.sgi.com
126.0.0.0	pcpqa-192.sgi.com
126.0.0.1	pcpqa-193.sgi.com
126.0.0.127	pcpqa-194.sgi.com
126.0.0.254	pcpqa-195.sgi.com
126.0.15.0	pcpqa-196.sgi.com
126.0.15.1	pcpqa-197.sgi.com
126.0.15.127	pcpqa-198.sgi.com
126.0.15.254	pcpqa-199.sgi.com
126.0.191.0	pcpqa-200.sgi.com
126.0.191.1	pcpqa-201.sgi.com
126.0.191.127	pcpqa-202.sgi.com
126.0.191.254	pcpqa-203.sgi.com
126.0.64.0	pcpqa-204.sgi.com
126.0.64.1	pcpqa-205.sgi.com
126.0.64.127	pcpqa-206.sgi.com
126.0.64.254	pcpqa-207.sgi.com
126.201.0.0	pcpqa-208.sgi.com
126.201.0.1	pcpqa-209.sgi.com
126.201.0.127	pcpqa-210.sgi.com
126.201.0.254	pcpqa-211.sgi.com
126.201.15.0	pcpqa-212.sgi.com
126.201.15.1	pcpqa-213.sgi.com
126.201.15.127	pcpqa-214.sgi.com
126.201.15.254	pcpqa-215.sgi.com
126.201.191.0	pcpqa-216.sgi.com
126.201.191.1	pcpqa-217.sgi.com
126.201.191.127	pcpqa-218.sgi.com
126.201.191.254	pcpqa-219.sgi.com
126.201.64.0	pcpqa-220.sgi.com
126.201.64.1	pcpqa-221.sgi.com
126.201.64.127	pcpqa-222.sgi.com
126.201.64.254	pcpqa-223.sgi.com
126.77.0.0	pcpqa-224.sgi.com
126.77.0.1	pcpqa-225.sgi.com
126.77.0.127	pcpqa-226.sgi.com
126.77.0.254	pcpqa-227.sgi.com
126.77.15.0	pcpqa-228.sgi.com
126.77.15.1	pcpqa-229.sgi.com
126.77.15.127	pcpqa-230.sgi.com
126.77.15.254	pcpqa-231.sgi.com
126.77.191.0	pcpqa-232.sgi.com
126.77.191.1	pcpqa-233.sgi.com
126.77.191.127	pcpqa-234.sgi.com
126.77.191.254	pcpqa-235.sgi.com
126.77.64.0	pcpqa-236.sgi.com
126.77.64.1	pcpqa-237.sgi.com
126.77.64.127	pcpqa-238.sgi.com
126.77.64.254	pcpqa-239.sgi.com
126.127.0.0	pcpqa-240.sgi.com
126.127.0.1	pcpqa-241.sgi.com
126.127.0.127	pcpqa-242.sgi.com
126.127.0.254	pcpqa-243.sgi.com
126.127.15.0	pcpqa-244.sgi.com
126.127.15.1	pcpqa-245.sgi.com
126.127.15.127	pcpqa-246.sgi.com
126.127.15.254	pcpqa-247.sgi.com
126.127.191.0	pcpqa-248.sgi.com
126.127.191.1	pcpqa-249.sgi.com
126.127.191.127	pcpqa-250.sgi.com
126.127.191.254	pcpqa-251.sgi.com
126.127.64.0	pcpqa-252.sgi.com
126.127.64.1	pcpqa-253.sgi.com
126.127.64.127	pcpqa-254.sgi.com
126.127.64.254	pcpqa-255.sgi.com
=== check pcp on d7f4eda67446super ===
Performance Co-Pilot configuration on d7f4eda67446:

 platform: Linux d7f4eda67446 6.14.0-1017-azure #17~24.04.1-Ubuntu SMP Mon Dec 1 20:10:50 UTC 2025 x86_64
 hardware: 4 cpus, 1 disk, 1 node, 15990MB RAM
 timezone: UTC
 services: pmcd
     pmcd: Version 7.1.1-0.20260306.02d9b5a, 16 agents
     pmda: root pmcd proc pmproxy xfs sample sampledso linux nfsclient mmv
           kvm jbd2 dm openmetrics opentelemetry simple

=== test 1 ===
--- before _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
--- after _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
--- control ---
# PCP archive logging configuration/control - for qa/430
#
$version=1.1
$PMLOGGER_CHECK_SKIP_JANITOR=yes
#
# 1. Test duplicate directory names;  non-primary and then primary
#
LOCALHOSTNAME	n   n	/tmp/430-606146 -c /tmp/430-606146/config
LOCALHOSTNAME	y   n	/tmp/430-606146	-c /tmp/430-606146/config
# 
--- pmlogger_check ---
Start [check]: 2026-03-06 19:43:04.612567953
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "local:" ... [process 606733]  done
pmlogger_check: [/tmp/430-606146/control:9]
Error: Duplicate pmlogger instances for archive directory "/tmp/430-606146"
... logging for host "local:" unchanged
Prior instance(s) for this directory:
/tmp/430-606146 /tmp/430-606146/control:8
End [check]: 2026-03-06 19:43:04.908420808 status=1

=== test 2 ===
--- before _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       606733       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -h local: -d "/tmp/430-606146" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
--- after _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
--- control ---
# PCP archive logging configuration/control - for qa/430
#
$version=1.1
$PMLOGGER_CHECK_SKIP_JANITOR=yes
#
# 2. Test duplicate directory names ; primary and then non-primary
#
LOCALHOSTNAME	y   n	/tmp/430-606146	-c /tmp/430-606146/config
LOCALHOSTNAME	n   n	/tmp/430-606146	-c /tmp/430-606146/config
# 
--- pmlogger_check ---
Start [check]: 2026-03-06 19:43:05.015528476
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting primary pmlogger for host "local:" ... [process 607088]  done
pmlogger_check: [/tmp/430-606146/control:9]
Error: Duplicate pmlogger instances for archive directory "/tmp/430-606146"
... logging for host "local:" unchanged
Prior instance(s) for this directory:
/tmp/430-606146 /tmp/430-606146/control:8
End [check]: 2026-03-06 19:43:05.319207033 status=1

=== test 3 ===
--- before _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       607088       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -N -P -d "/tmp/430-606146" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
--- after _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
--- control ---
# PCP archive logging configuration/control - for qa/430
#
$version=1.1
$PMLOGGER_CHECK_SKIP_JANITOR=yes
#
# 3. Test directory names which are subnames 
#
LOCALHOSTNAME	y   n   /tmp/430-606146.subname  -c /tmp/430-606146/config
LOCALHOSTNAME	n   n   /tmp/430-606146 -c /tmp/430-606146/config
# 
--- pmlogger_check ---
Start [check]: 2026-03-06 19:43:05.423839761
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting primary pmlogger for host "local:" ... [process 607445]  done
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "local:" ... [process 607489]  done
End [check]: 2026-03-06 19:43:05.904431257 status=0

=== test 4 ===
--- before _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       607445       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -N -P -d "/tmp/430-606146.subname" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
pcp       607489       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -h local: -d "/tmp/430-606146" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
--- after _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
--- control ---
# PCP archive logging configuration/control - for qa/430
#
$version=1.1
$PMLOGGER_CHECK_SKIP_JANITOR=yes
#
# 4. Test when have hosts which are subnames
#
d7f4eda67446	y   n   /tmp/430-606146/d7f4eda67446  -c /tmp/430-606146/config
d7f4eda67446super	n   n   /tmp/430-606146/d7f4eda67446super -c /tmp/430-606146/config
#
--- pmlogger_check ---
Start [check]: 2026-03-06 19:43:06.035243731
pmlogger_check: [/tmp/430-606146/control:8]
Warning: creating directory (/tmp/430-606146/d7f4eda67446) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting primary pmlogger for host "local:" ... [process 607922]  done
pmlogger_check: [/tmp/430-606146/control:9]
Warning: creating directory (/tmp/430-606146/d7f4eda67446super) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "d7f4eda67446super" ... [process 607967]  done
End [check]: 2026-03-06 19:43:06.516994999 status=0

=== test 5 ===
--- before _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       607922       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -N -P -d "/tmp/430-606146/d7f4eda67446" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
pcp       607967       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -h d7f4eda67446super -d "/tmp/430-606146/d7f4eda67446super" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
--- after _setup() ---
UID          PID    PPID  C STIME TTY          TIME CMD
--- control ---
# PCP archive logging configuration/control - for qa/430
#
$version=1.1
$PMLOGGER_CHECK_SKIP_JANITOR=yes
#
# 5. Putting all the cases together
#
LOCALHOSTNAME	y   n   /tmp/430-606146.1 -c /tmp/430-606146/config
LOCALHOSTNAME	n   n   /tmp/430-606146.2 -c /tmp/430-606146/config
d7f4eda67446	        n   n   /tmp/430-606146.3 -c /tmp/430-606146/config
d7f4eda67446	        n   n   /tmp/430-606146.4 -c /tmp/430-606146/config
d7f4eda67446super	        n   n   /tmp/430-606146.5 -c /tmp/430-606146/config
d7f4eda67446super	        n   n   /tmp/430-606146.6 -c /tmp/430-606146/config
--- pmlogger_check ---
Start [check]: 2026-03-06 19:43:06.649045569
pmlogger_check: [/tmp/430-606146/control:8]
Warning: creating directory (/tmp/430-606146.1) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting primary pmlogger for host "local:" ... [process 608400]  done
pmlogger_check: [/tmp/430-606146/control:9]
Warning: creating directory (/tmp/430-606146.2) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "local:" ... [process 608445]  done
pmlogger_check: [/tmp/430-606146/control:10]
Warning: creating directory (/tmp/430-606146.3) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "d7f4eda67446" ... [process 608493]  done
pmlogger_check: [/tmp/430-606146/control:11]
Warning: creating directory (/tmp/430-606146.4) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "d7f4eda67446" ... [process 608544]  done
pmlogger_check: [/tmp/430-606146/control:12]
Warning: creating directory (/tmp/430-606146.5) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "d7f4eda67446super" ... [process 608598]  done
pmlogger_check: [/tmp/430-606146/control:13]
Warning: creating directory (/tmp/430-606146.6) for PCP archive files
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Restarting pmlogger for host "d7f4eda67446super" ... [process 608655]  done
End [check]: 2026-03-06 19:43:07.959393143 status=0

Restart tests while other pmloggers are running ...

Kill off one pmlogger ...
6 active pmloggers: 608400 608445 608493 608544 608598 608655 primary
--- /var/lib/pcp/tmp/pmlogger/608400 ---
4330
d7f4eda67446
/tmp/430-606146.1/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608445 ---
4330
d7f4eda67446
/tmp/430-606146.2/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608493 ---
4330
d7f4eda67446
/tmp/430-606146.3/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608544 ---
4330
d7f4eda67446
/tmp/430-606146.4/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608598 ---
4330
d7f4eda67446
/tmp/430-606146.5/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608655 ---
4330
d7f4eda67446
/tmp/430-606146.6/20260306.19.43
pmlogger_check
initially pid=608400
Victim pid=608400
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       608400       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -N -P -d "/tmp/430-606146.1" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
Connected to pmlogger on port 4330 at local:
pmlogger [608400] on host local: is logging metrics from host d7f4eda67446
PMCD host        d7f4eda67446
log started      Fri Mar  6 19:43:06.706806626 2026 (times in local time)
last log entry   Fri Mar  6 19:43:06.706806626 2026
current time     Fri Mar  6 19:43:07.990733717 2026
log volume       0
log size         1056
+++ /var/lib/pcp/tmp/pmlogger/608400 +++
4330
d7f4eda67446
/tmp/430-606146.1/20260306.19.43
pmlogger_check
Check ...
Start [check]: 2026-03-06 19:43:08.038999668
Called from:
systemd,1
  |-agetty,37 -o -p -- \\u --noclear --keep-baud console 115200,38400,9600 xterm
  |-apache2,39056 -k start
  |   |-apache2,39058 -k start
  |   |   |-{apache2},39061
  |   |   |-{apache2},39062
  |   |   |-{apache2},39063
  |   |   |-{apache2},39065
  |   |   |-{apache2},39067
  |   |   |-{apache2},39069
  |   |   |-{apache2},39072
  |   |   |-{apache2},39074
  |   |   |-{apache2},39075
  |   |   |-{apache2},39076
  |   |   |-{apache2},39078
  |   |   |-{apache2},39079
  |   |   |-{apache2},39082
  |   |   |-{apache2},39083
  |   |   |-{apache2},39085
  |   |   |-{apache2},39087
  |   |   |-{apache2},39089
  |   |   |-{apache2},39091
  |   |   |-{apache2},39093
  |   |   |-{apache2},39095
  |   |   |-{apache2},39097
  |   |   |-{apache2},39100
  |   |   |-{apache2},39101
  |   |   |-{apache2},39102
  |   |   |-{apache2},39106
  |   |   `-{apache2},39107
  |   `-apache2,39059 -k start
  |       |-{apache2},39066
  |       |-{apache2},39068
  |       |-{apache2},39070
  |       |-{apache2},39071
  |       |-{apache2},39073
  |       |-{apache2},39077
  |       |-{apache2},39080
  |       |-{apache2},39081
  |       |-{apache2},39084
  |       |-{apache2},39086
  |       |-{apache2},39088
  |       |-{apache2},39090
  |       |-{apache2},39092
  |       |-{apache2},39094
  |       |-{apache2},39096
  |       |-{apache2},39098
  |       |-{apache2},39099
  |       |-{apache2},39103
  |       |-{apache2},39104
  |       |-{apache2},39105
  |       |-{apache2},39108
  |       |-{apache2},39109
  |       |-{apache2},39110
  |       |-{apache2},39111
  |       |-{apache2},39112
  |       `-{apache2},39113
  |-avahi-daemon,37360
  |   `-avahi-daemon,37361
  |-cron,10681 -f
  |-dbus-daemon,33 --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  |-exim4,37729 -bd -q30m
  |-htcacheclean,39155 -d 120 -p /var/cache/apache2/mod_cache_disk -l 300M -n
  |-libvirtd,38401
  |   |-{libvirtd},38402
  |   |-{libvirtd},38403
  |   |-{libvirtd},38404
  |   |-{libvirtd},38405
  |   |-{libvirtd},38406
  |   |-{libvirtd},38407
  |   |-{libvirtd},38408
  |   |-{libvirtd},38409
  |   |-{libvirtd},38410
  |   |-{libvirtd},38411
  |   |-{libvirtd},38412
  |   |-{libvirtd},38413
  |   |-{libvirtd},38414
  |   |-{libvirtd},38415
  |   |-{libvirtd},38416
  |   |-{libvirtd},38418
  |   |-{libvirtd},38420
  |   `-{libvirtd},38423
  |-memcached,38082 -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
  |   |-{memcached},38086
  |   |-{memcached},38087
  |   |-{memcached},38088
  |   |-{memcached},38089
  |   |-{memcached},38090
  |   |-{memcached},38091
  |   |-{memcached},38092
  |   |-{memcached},38093
  |   `-{memcached},38094
  |-pmcd,604022 -A -T 3 -C 512
  |   `-pmdaroot,604029
  |       |-pmdadm,604094 -d 129
  |       |-pmdakvm,604093 -d 95
  |       |-pmdalinux,604046
  |       |-pmdaproc,604035 -d 3
  |       |-pmdasample,604042 -d 29
  |       |-pmdasimple,604108 -d 253
  |       |-pmdaxfs,604038 -d 11
  |       |-python3,604050 /var/lib/pcp/pmdas/nfsclient/pmdanfsclient.python
  |       |-python3,604099 /var/lib/pcp/pmdas/opentelemetry/pmdaopentelemetry.python
  |       `-python3,604095 /var/lib/pcp/pmdas/openmetrics/pmdaopenmetrics.python
  |-pmlogger,608445 -h local: -d "/tmp/430-606146.2" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608493 -h d7f4eda67446 -d "/tmp/430-606146.3" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608544 -h d7f4eda67446 -d "/tmp/430-606146.4" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608598 -h d7f4eda67446super -d "/tmp/430-606146.5" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
