

ATOP - runnervmejwal  2026/09/06  21:50:06  -----------------   1h59m39s elapsed
PRC | sys   21.80s | user  15.14s | #proc    222 | #tidle    89 | no  procacct |
CPU | sys      53% | user     65% | irq       0% | idle    283% | wait      0% |
cpu | sys      22% | user     32% | irq       0% | idle     45% | cpu003 w  0% |
cpu | sys      20% | user     26% | irq       0% | idle     54% | cpu002 w  0% |
cpu | sys       6% | user      5% | irq       0% | idle     89% | cpu001 w  0% |
cpu | sys       5% | user      1% | irq       0% | idle     94% | cpu000 w  0% |
CPL | numcpu     4 | avg1    0.82 | avg5    0.79 | csw     4446 | intr    5226 |
MEM | tot    15.6G | free    4.0G | avail  14.1G | cache   8.8G | slab    1.2G |
MEM | numnode    1 | shmem  50.8M | pgtab   2.6M | anthp 286.0M | zfarc   0.0M |
SWP | tot     3.0G | free    3.0G | swcac   0.0M | vmcom   2.8G | vmlim  10.8G |
PAG | numamig    0 | migrate    0 | pgin       0 | pgout      4 | oomkill    0 |
DSK |            0 | busy      0% | read       0 | write      1 | avio  0.0 ns |
NET | transport    | tcpi      15 | tcpo      21 | udpi       0 | udpo       0 |
NET | network      | ipi       15 | ipo       20 | ipfrw      0 | deliv     15 |
NET | 1         0% | pcki      15 | pcko      20 | si    0 Kbps | so    0 Kbps |
NET | 2         0% | pcki      16 | pcko      21 | si    0 Kbps | so    0 Kbps |

    PID SYSCPU USRCPU BDELAY  VGROW  RGROW  RDDSK  WRDSK  CPU CMD            
1130230  0.23s  0.11s  0.00s  15.3M   7.4M     0B     0B  34% pmdaproc       
    228  0.15s  0.19s  0.00s  25.6M   7.4M     0B     0B  34% systemd-udevd  
 629940  0.34s  0.00s  0.00s     0B     0B     0B     0B  34% kworker/3:0-ev 
1130240  0.15s  0.17s  0.00s 398.7M  33.8M     0B     0B  32% python3        
1130244  0.13s  0.19s  0.00s 126.7M  33.7M     0B     0B  32% python3        
   1018  0.08s  0.24s  0.00s  38.6M  29.5M     0B     0B  32% python3        
    599  0.04s  0.27s  0.00s   8.3M   4.8M     0B     0B  31% haveged        
    541  0.13s  0.15s  0.00s  21.3M  12.7M     0B     0B  28% systemd-resolv 
1130234  0.14s  0.12s  0.00s  35.5M  20.9M     0B     0B  26% python3        
 918651  0.26s  0.00s  0.00s     0B     0B     0B     0B  26% kworker/0:3-ev 
1130232  0.19s  0.06s  0.00s  13.8M   5.7M     0B     0B  25% pmdasample     
1130231  0.15s  0.06s  0.00s  13.8M   5.4M     0B     0B  21% pmdaxfs        
 718996  0.20s  0.00s  0.00s     0B     0B     0B     0B  20% kworker/u16:3- 
1130239  0.14s  0.05s  0.00s  15.2M   5.7M     0B     0B  19% pmdadm         
1130238  0.12s  0.06s  0.00s  13.8M   5.5M     0B     0B  18% pmdakvm        
1130253  0.11s  0.06s  0.00s  13.7M   5.6M     0B     0B  17% pmdasimple     
     49  0.17s  0.00s  0.00s     0B     0B     0B     0B  17% kcompactd0     
 265646  0.03s  0.12s  0.00s  19.7M  10.8M     0B     0B  15% systemd        
     89  0.00s  0.15s  0.00s     0B     0B     0B     0B  15% hv_balloon     
 947931  0.11s  0.00s  0.00s     0B     0B     0B     0B  11% kworker/2:0-ev 
1060285  0.10s  0.00s  0.00s     0B     0B     0B     0B  10% kworker/2:1-cg 
   1153  0.07s  0.02s  0.00s 422.8M  12.3M     0B     0B   9% ModemManager   
   1015  0.05s  0.03s  0.00s 506.0M  13.0M     0B     0B   8% udisksd        
    106  0.07s  0.00s  0.00s     0B     0B     0B     0B   7% kworker/1:1H-k 
 935460  0.07s  0.00s  0.00s     0B     0B     0B     0B   7% kworker/1:1-ev 
1137228  0.06s  0.00s  0.00s   2.7M   1.8M     0B     0B   6% pmlogcompress  
    108  0.06s  0.00s  0.00s     0B     0B     0B     0B   6% kworker/2:1H-k 
1034730  0.06s  0.00s  0.00s     0B     0B     0B     0B   6% kworker/0:1-cg 
     71  0.05s  0.00s  0.00s     0B     0B     0B     0B   5% kworker/0:1H-k 
     87  0.05s  0.00s  0.00s     0B     0B     0B     0B   5% kworker/3:1H-k 
  12359  0.02s  0.02s  0.00s  70.1M  14.9M     0B     0B   4% virtlogd       
1138007  0.01s  0.03s  0.00s  17.3M   8.2M     0B     0B   4% pcp-atop       
     72  0.03s  0.00s  0.00s     0B     0B     0B     0B   3% kswapd0        
1094087  0.02s  0.00s  0.00s     0B     0B     0B     0B   2% kworker/0:0-ev 
  10914  0.01s  0.00s  0.00s  41.9M   4.5M     0B     0B   1% master         
   1050  0.01s  0.00s  0.00s   7.1M   2.5M     0B     0B   1% cron           
1137106  0.01s  0.00s  0.00s   3.0M   1.4M     0B     0B   1% pmlogger_daily 
1097105  0.01s  0.00s  0.00s     0B     0B     0B     0B   1% kworker/u16:6- 
1138036  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% xz             
   2040  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% provjobd319396 
    156  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% systemd-journa 
    983  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% php-fpm8.3     
   1094  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% containerd     
   1448  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% python3        
  11413  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% redis-server   
1113749  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% libvirtd       
   1199  0.00s  0.00s  0.00s 288.9M  20.9M     0B     0B   0% php-fpm8.3     
   9369  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% unbound        
   1218  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% php-fpm8.3     
    981  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% networkd-dispa 
 280680  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% python3        
  12356  0.00s  0.00s  0.00s  70.1M  14.9M     0B     0B   0% virtlockd      
      1  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% systemd        
   1237  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% systemd        
    738  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% systemd-networ 
 948809  0.00s  0.00s  0.00s  42.3M   7.7M     0B     0B   0% pickup         
    988  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% polkitd        
  10916  0.00s  0.00s  0.00s  42.3M   7.6M     0B     0B   0% qmgr           
 280682  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% sudo           
   2038  0.00s  0.00s  0.00s  16.8M   6.7M     0B     0B   0% sudo           
  11583  0.00s  0.00s  0.00s 123.7M   5.4M     0B     0B   0% zed            
    976  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% dbus-daemon    
  12507  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rsyslogd       
1130788  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% pmpause        
   1261  0.00s  0.00s  0.00s  20.7M   3.4M     0B     0B   0% (sd-pam)       
 265648  0.00s  0.00s  0.00s  20.8M   3.4M     0B     0B   0% (sd-pam)       
   1124  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% chronyd        
 280681  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% bash           
 280679  0.00s  0.00s  0.00s   7.6M   3.3M     0B     0B   0% bash           
    391  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% hv_kvp_daemon  
 280684  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% check          
  12210  0.00s  0.00s  0.00s  11.2M   2.1M     0B     0B   0% dnsmasq        
1137734  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% 1079           
   1076  0.00s  0.00s  0.00s   6.0M   2.0M     0B     0B   0% agetty         
1136941  0.00s  0.00s  0.00s   3.0M   2.0M     0B     0B   0% pmlogger_daily 
1137733  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% timeout        
   1100  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% agetty         
1136567  0.00s  0.00s  0.00s   3.0M   1.8M     0B     0B   0% pmlogger_check 
 280683  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% tee            
1137227  0.00s  0.00s  0.00s   2.9M   1.6M     0B     0B   0% xargs          
  12211  0.00s  0.00s  0.00s  11.2M   1.1M     0B     0B   0% dnsmasq        
   1127  0.00s  0.00s  0.00s  10.8M   1.1M     0B     0B   0% chronyd        
      2  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kthreadd       
      3  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% pool_workqueue 
      4  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-rcu_ 
      5  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-sync 
      6  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kvfr 
      7  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-slub 
      8  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-netn 
     10  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/0:0H-e 
     13  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mm_p 
     14  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksoftirqd/0    
     15  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_sched      
     16  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_exp_par_gp 
     17  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_exp_gp_kth 
     18  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% migration/0    
     19  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/0  
     20  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/0        
     21  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/2        
     22  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/2  
     23  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% migration/2    
     24  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksoftirqd/2    
     26  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/2:0H-e 
     27  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/1        
     28  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/1  
     29  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% migration/1    
     30  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksoftirqd/1    
     32  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:0H-e 
     33  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% cpuhp/3        
     34  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% idle_inject/3  
     35  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% migration/3    
     36  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksoftirqd/3    
     38  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/3:0H-e 
     39  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kdevtmpfs      
     40  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-inet 
     41  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_tasks_rude 
     42  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% rcu_tasks_trac 
     43  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kauditd        
     44  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% khungtaskd     
     45  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% oom_reaper     
     48  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-writ 
     50  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ksmd           
     52  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kblo 
     53  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-blkc 
     54  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kint 
     55  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% irq/9-acpi     
     59  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-tpm_ 
     60  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ata_ 
     61  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-md   
     62  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-md_b 
     63  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-edac 
     64  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_v 
     65  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_v 
     66  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_p 
     67  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-hv_s 
     68  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-devf 
     69  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% watchdogd      
     70  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-quot 
     73  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ecryptfs-kthre 
     74  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kthr 
     75  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nfit 
     76  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% scsi_eh_0      
     77  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% scsi_eh_1      
     78  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-scsi 
     79  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-scsi 
     81  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     82  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     83  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     84  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-nvme 
     86  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mld  
     88  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ipv6 
     90  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kstr 
     92  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u17:0  
    104  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ext4 
    178  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kmpa 
    179  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-kmpa 
    241  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% psimon         
    375  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-tls- 
    385  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    387  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    389  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    390  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    396  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% ptp1           
    397  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    398  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    399  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    400  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mlx5 
    403  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib-c 
    404  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib-c 
    405  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib_m 
    406  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ib_n 
    422  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-mkey 
    450  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% jbd2/sda16-8   
    451  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-ext4 
   9534  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-targ 
   9535  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-targ 
   9536  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-xcop 
   9737  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% spl_system_tas 
   9738  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% spl_delay_task 
   9739  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% spl_dynamic_ta 
   9742  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% zvol_tq-0      
   9743  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% arc_prune      
   9744  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% arc_flush      
   9745  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% arc_evict      
   9746  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% arc_reap       
   9748  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% dbuf_evict     
   9749  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% z_vdev_file    
   9750  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% l2arc_feed     
 617804  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u16:4- 
 632283  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:2-ev 
 935534  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u16:2- 
 988705  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:3-cg 
1015554  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/3:1-ev 
1021809  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/3:2-ev 
1033067  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-xfsa 
1033068  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/R-xfs_ 
1092848  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/1:0    
1093835  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u16:1- 
1097104  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/u16:5  
1102867  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/3:3-ev 
1125680  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% psimon         
1136628  0.00s  0.00s  0.00s     0B     0B     0B     0B   0% kworker/2:2-ev 
1138485  0.00s  0.00s  0.00s     0B     0B     0B     0B   0%                
1139081  0.00s  0.00s  0.00s     0B     0B     0B     0B   0%                
