"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 29 20:22:39 UTC 2026","Thu Jan 29 20:23:00 UTC 2026","21000","","ubuntu1804-i386-container","","","","QA 1041","PCP QA Test No. 1041

Exercise the libvirt PMDA - install, remove and values.



Copyright (c) 2016 Red Hat.



Expectations:

1) libvirtd installed and running

- typically from libvirt package

2) libvirt Python API available

- typically from libvirt-python

3) optionally one or more VMs up

4) libvirt.hv.* metrics always expected

5) with VMs available at least:

- libvirt.dominfo.uuid

- libvirt.dominfo.name

- libvirt.dominfo.memory.{boot,current}

- libvirt.dominfo.vcpu.*

- libvirt.dominfo.type

- libvirt.dominfo.os.type

- libvirt.domstats.mem.*



"
"skipped","Thu Jan 29 21:00:38 UTC 2026","Thu Jan 29 21:00:38 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 1700","PCP QA Test No. 1700

Exercise the bpftrace PMDA - single values



"
"passed","Thu Jan 29 20:06:20 UTC 2026","Thu Jan 29 20:06:30 UTC 2026","10000","","debian11-container","","","","QA 696","PCP QA Test No. 695

Exercise the python version of the trivial PMDA.



Copyright (c) 2018 Red Hat.



"
"skipped","Thu Jan 29 20:42:25 UTC 2026","Thu Jan 29 20:42:26 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 1325","PCP QA Test No. 1325

pmdumplog -x ... check all timestamp formats change

non-valgrind variant, see qa/1327 for the valgrind variant



Copyright (c) 2021 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:56:42 UTC 2026","Thu Jan 29 20:56:43 UTC 2026","1000","","ubuntu1804-container","","","","QA 1813","PCP QA Test No. 1813

Check instances labels changing between script runs

https://github.com/performancecopilot/pcp/issues/1030



Copyright (c) 2020 Red Hat.  All Rights Reserved.



if [ $# -eq 0 ]

then

seq=`basename $0`

echo ""QA output created by $seq""

else

use $seq from caller, unless not set

[ -n ""$seq"" ] || seq=`basename $0`

echo ""QA output created by `basename $0` $*""

fi

"
"passed","Thu Jan 29 19:38:10 UTC 2026","Thu Jan 29 19:38:10 UTC 2026","0","","debian11-container","","","","QA 352","PCP QA Test No. 352



derived metrics and pmlogger ...



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"skipped","Thu Jan 29 20:59:02 UTC 2026","Thu Jan 29 20:59:03 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 1646","PCP QA Test No. 1646

testing for fix-exports script ... this is not part of shipped PCP,

I'm just leveraging the QA infrastructure



Copyright (c) 2025 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:40:39 UTC 2026","Thu Jan 29 20:40:41 UTC 2026","2000","","ubuntu2004-container","","","","QA 1439","PCP QA Test No. 1439

exercise __pmAcc*() methods



valgrind variant, see qa/1438 for the non-valgrind variant





Copyright (c) 2023 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:15:49 UTC 2026","Thu Jan 29 19:16:25 UTC 2026","36000","","ubuntu1804-i386-container","","","","QA 169","PCP QA Test No. 169



Test pmcd timeouts with the pmcd PMDA's pmcd.control.timeout



Test setting the app's timeouts < pmcd's timeout and vice versa



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:27:39 UTC 2026","Thu Jan 29 20:27:39 UTC 2026","0","","debian11-container","","","","QA 1093","PCP QA Test No. 1093

?shell directive to pmcpp



Copyright (c) 2015 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:36:49 UTC 2026","Thu Jan 29 19:36:54 UTC 2026","5000","","ubuntu1804-i386-container","","","","QA 376","PCP QA Test No. 376

libpcp_trace



Copyright (c) 2015 Red Hat.

Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:08:52 UTC 2026","Thu Jan 29 20:08:52 UTC 2026","0","","ubuntu1804-container","","","","QA 824","PCP QA Test No. 824

https://bugzilla.redhat.com/show_bug.cgi?id=1132476

with -S pmlogsummary reports incorrect commencing time



Copyright (c) 2014 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:41:08 UTC 2026","Thu Jan 29 20:41:08 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 1307","PCP QA Test No. 1307

sample.ghost.* workout



See 1308 for the valgrind version of this test.



Copyright (c) 2021 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:54:44 UTC 2026","Thu Jan 29 20:54:45 UTC 2026","1000","","ubuntu1804-container","","","","QA 1698","PCP QA Test No. 1698

$PCP_CULLAFTER for pmlogger_daily



Copyright (c) 2025 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 21:01:36 UTC 2026","Thu Jan 29 21:01:44 UTC 2026","8000","","ubuntu1804-i386-container","","","","QA 1747","PCP QA Test No. 1747

Exercise pmlogger labels handling for dynamic instance domains.



Copyright (c) 2025 Red Hat.  All Rights Reserved.



"
"passed","Thu Jan 29 20:12:22 UTC 2026","Thu Jan 29 20:12:23 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 829","PCP QA Test No. 829

Exercise the pcp-dmcache(1) command using an archive.



Copyright (c) 2014 Red Hat.



"
"skipped","Thu Jan 29 20:15:20 UTC 2026","Thu Jan 29 20:15:20 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 873","PCP QA Test No. 873

check kernel.pernode.cpu metrics on single CPU systems

(see commit 4ea1e0b7758660514fcae3117112bf1db4818ba0)



Copyright (c) 2015 Mark Goodwin <mgoodwin@redhat.com>.  All Rights Reserved.



"
"passed","Thu Jan 29 20:15:43 UTC 2026","Thu Jan 29 20:15:44 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 880","PCP QA Test No. 880

check pmrep broken pipe signal handling and 'Exception Ignored' errors



Copyright (c) 2016 Mark Goodwin <mgoodwin@redhat.com> All Rights Reserved.



"
"passed","Thu Jan 29 20:28:21 UTC 2026","Thu Jan 29 20:28:21 UTC 2026","0","","debian11-container","","","","QA 1104","PCP QA Test No. 1104

Check kernel.all.cpu.* against kernel.percpu.cpu.*



Copyright (c) 2019 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:51:35 UTC 2026","Thu Jan 29 20:52:24 UTC 2026","49000","","ubuntu1804-i386-container","","","","QA 1516","PCP QA Test No. 1516

derived metrics - iostat.conf workout



valgrind variant, see qa/1509 for the non-valgrind variant



check-group-include: derive



Copyright (c) 2024 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:26:32 UTC 2026","Thu Jan 29 20:26:36 UTC 2026","4000","","ubuntu1804-container","","","","QA 1164","PCP QA Test No. 1164

Exercise Linux kernel network connection metrics.



Copyright (c) 2018 Red Hat.



"
"skipped","Thu Jan 29 20:09:11 UTC 2026","Thu Jan 29 20:09:11 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 776","PCP QA Test No. 776

Test using the pmfind app to find pmcd servers using the active probing

discovery mechanism



Copyright (c) 2014-2015 Red Hat.  All Rights Reserved.



"
"passed","Thu Jan 29 19:30:22 UTC 2026","Thu Jan 29 19:30:40 UTC 2026","18000","","ubuntu1804-i386-container","","","","QA 283","PCP QA Test No. 283

Move pmcd port to iana registered 44321, and the associated multiple

port changes for ...

	pmcd via -p

	pmcd via PMCD_PORT

	clients via PMCD_PORT



Copyright (c) 2005 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 19:35:40 UTC 2026","Thu Jan 29 19:35:41 UTC 2026","1000","","ubuntu1804-container","","","","QA 397","PCP QA Test No. 397

Use dbpmda to check endian encoding for PM_TYPE_EVENT



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:48:11 UTC 2026","Thu Jan 29 19:48:11 UTC 2026","0","","debian11-container","","","","QA 499","PCP QA Test No. 499

pmlogrewrite - -q option



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:47:51 UTC 2026","Thu Jan 29 19:47:51 UTC 2026","0","","debian11-container","","","","QA 480","PCP QA Test No. 480

fault injection for libpcp/logmeta.c



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:41:37 UTC 2026","Thu Jan 29 19:42:22 UTC 2026","45000","","ubuntu1804-container","","","","QA 462","PCP QA Test No. 462

For pv #581025, pv #589006



Test out pmcd_wait 



Test:

* Success:

1 - try on already running pmcd

* Failure:

2 - pmcd not running at all

3 - pmcd running but taking too long to get around to 

accepting connections

* Wait delta:

4 - delta = X, have pmcd dead for X-1 seconds 

5 - delta = X, have pmcd dead for X+1 seconds 



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 19:36:48 UTC 2026","Thu Jan 29 19:36:48 UTC 2026","0","","debian11-container","","","","QA 327","PCP QA Test No. 327

Check pmloglabel detects and repairs all forms of log label corruption



Copyright (c) 2008 Aconex.  All Rights Reserved.



"
"passed","Thu Jan 29 20:19:27 UTC 2026","Thu Jan 29 20:19:28 UTC 2026","1000","","ubuntu1804-container","","","","QA 1062","PCP QA Test No. 1062

Exercise pmrep vmstat-style output.



Copyright (c) 2015-2016 Red Hat.  All Rights Reserved.



"
"passed","Thu Jan 29 20:21:46 UTC 2026","Thu Jan 29 20:21:47 UTC 2026","1000","","ubuntu1804-container","","","","QA 1094","PCP QA Test No. 1094

Exercise _do_dir_and_arg() (for scripts run from cron)



Copyright (c) 2015 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:37:18 UTC 2026","Thu Jan 29 20:37:18 UTC 2026","0","","ubuntu2004-container","","","","QA 1379","PCP QA Test No. 1379

Exercise Unix domain socket access to pmproxy and the PMWEBAPI(3)



Copyright (c) 2019 Red Hat.



"
"passed","Thu Jan 29 20:27:00 UTC 2026","Thu Jan 29 20:27:01 UTC 2026","1000","","ubuntu1804-container","","","","QA 1183","PCP QA Test No. 1183

Exercise pmrep archive creation with help texts.



Copyright (c) 2020 Red Hat.



"
"passed","Thu Jan 29 19:48:45 UTC 2026","Thu Jan 29 19:48:45 UTC 2026","0","","debian11-container","","","","QA 513","PCP QA Test No. 513

Verify handling of corrupt PDUs

"
"passed","Thu Jan 29 19:21:23 UTC 2026","Thu Jan 29 19:21:23 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 239","PCP QA Test No. 239

pmnsmerge with embedded cpp(1) controls



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:49:06 UTC 2026","Thu Jan 29 20:49:06 UTC 2026","0","","ubuntu2004-container","","","","QA 1633","PCP QA Test No. 1633

Exercise the pcp-ss(1) command using an archive



Copyright (c) 2021 Red Hat.



"
"passed","Thu Jan 29 20:49:21 UTC 2026","Thu Jan 29 20:49:22 UTC 2026","1000","","debian11-container","","","","QA 1406","PCP QA Test No. 1406

simple exerciser for sheet2pcp - base CSV variant



PCP_ARCHIVE_VERSION V3 variant, see 372 for the V2 variant.



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:49:46 UTC 2026","Thu Jan 29 20:49:47 UTC 2026","1000","","ubuntu1804-container","","","","QA 1560","PCP QA Test No. 1560

Exercise PDU __pmDecodeFoo() routines



Copyright (c) 2024 Ken McDonell.  All Rights Reserved.



"
"skipped","Thu Jan 29 20:46:10 UTC 2026","Thu Jan 29 20:46:10 UTC 2026","0","","debian11-container","","","","QA 1362","PCP QA Test No. 1362

check postgresql PMDA can reconnect when db bounces



Copyright (c) 2018 Red Hat.  All Rights Reserved.



Note: this test is _notrun if a local postgresql server is not installed

or not configured correctly and running. On Fedora (other platforms may

differ), install, initialize, enable and start the server :



sudo dnf install postgresql-server

sudo postgresql-setup initdb

sudo systemctl enable postgresql

sudo systemctl start postgresql



Also (on Fedora at least), after a major system upgrade may require you

to migrate an existing postgres DB to the new version. To do that:



sudo dnf install postgresql-upgrade

sudo postgresql-setup --upgrade

sudo systemctl restart postgresql



For Ubuntu, the major upgrade recipe is more like ...



remove the on install empty main cluster

sudo pg_dropcluster --stop <newversion> main

sudo systemctl stop postgresql

sudo pg_upgradecluster -m upgrade <oldversion> main

sudo systemctl start postgresql

check <oldversion> is down, <newversion> is online

pg_lsclusters

remove the <oldversion> cluster

sudo pg_dropcluster --stop <oldversion> main



"
"passed","Thu Jan 29 20:08:05 UTC 2026","Thu Jan 29 20:08:09 UTC 2026","4000","","ubuntu2004-container","","","","QA 833","PCP QA Test No. 833



Memory leak associated with PDU buffers remaining pinned after calling

pmDestroyContext().

See http://oss.sgi.com/bugzilla/show_bug.cgi?id=1057



Memory corruption after duplicating contexts with attributes after calling

pmDestroyContext().

See http://oss.sgi.com/bugzilla/show_bug.cgi?id=1129



Copyright (c) 2014 Ken McDonell.  All Rights Reserved.

Copyright (c) 2016 Red Hat.



"
"passed","Thu Jan 29 20:29:12 UTC 2026","Thu Jan 29 20:29:12 UTC 2026","0","","debian11-container","","","","QA 1113","PCP QA Test No. 1113

Exercise the pcp-ipcs(1) command using an archive



Copyright (c) 2016 fujitsu (wulm.fnst@cn.fujitsu.com) 



"
"passed","Thu Jan 29 20:32:28 UTC 2026","Thu Jan 29 20:32:33 UTC 2026","5000","","ubuntu1804-container","","","","QA 1226","PCP QA Test No. 1226

pmiectl - basic functionality



see qa/1204 for the pmlogctl variant of this test



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:49:51 UTC 2026","Thu Jan 29 20:49:52 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 1471","PCP QA Test No. 1471

pmdalinux bug in get_distro_info() as reported by

Tim Guo(BJ-RD) <TimGuo@zhaoxin.com>



Copyright (c) 2023 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:16:18 UTC 2026","Thu Jan 29 20:16:19 UTC 2026","1000","","ubuntu2004-container","","","","QA 991","PCP QA Test No. 991

Exercise the pcp-free(1) command using an archive



Copyright (c) 2014-2015 Red Hat.



"
"passed","Thu Jan 29 20:16:59 UTC 2026","Thu Jan 29 20:16:59 UTC 2026","0","","ubuntu2004-container","","","","QA 1049","PCP QA Test No. 1049 (formerly 552)

make sure that installed pmie rule files are syntactically OK.



Copyright (c) 2015 Red Hat.

Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:19:12 UTC 2026","Thu Jan 29 20:19:12 UTC 2026","0","","ubuntu2004-container","","","","QA 1086","PCP QA Test No. 1086

Exercise fix for pmprobe sigsegv (bad metric desc).



Copyright (c) 2017 Red Hat.  All Rights Reserved.



"
"passed","Thu Jan 29 20:50:16 UTC 2026","Thu Jan 29 20:50:17 UTC 2026","1000","","ubuntu1804-container","","","","QA 1571","PCP QA Test No. 1571

pmlogger_rewrite with xz compression

... based on No. 676



Copyright (c) 2018,2024 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:50:41 UTC 2026","Thu Jan 29 20:50:57 UTC 2026","16000","","ubuntu1804-i386-container","","","","QA 1502","PCP QA Test No. 1502

pmlogdump with multi-archive contexts



valgrind variant, see qa/1501 for the non-valgrind variant



check-group-include: pmlogdump



Copyright (c) 2024 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:33:31 UTC 2026","Thu Jan 29 19:33:32 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 313","PCP QA Test No. 313

assorted issues associated with pmval and archives with mark

records



note this file edited by hand to simulate the expected output



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 19:03:50 UTC 2026","Thu Jan 29 19:03:51 UTC 2026","1000","","ubuntu1804-container","","","","QA 093","PCP QA Test No. 093

interpolate at random offset, forwards and backwards



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:06:43 UTC 2026","Thu Jan 29 20:06:43 UTC 2026","0","","debian11-container","","","","QA 701","PCP QA Test No. 701

Exercise fix for pmlogcheck segv with certain inputs.



Copyright (c) 2014 Red Hat.



"
"passed","Thu Jan 29 19:01:46 UTC 2026","Thu Jan 29 19:01:46 UTC 2026","0","","ubuntu1804-container","","","","QA 045","PCP QA Test No. 045

pmstore and numval == 0 or numval < 0



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:24:52 UTC 2026","Thu Jan 29 20:24:52 UTC 2026","0","","ubuntu2004-container","","","","QA 1183","PCP QA Test No. 1183

Exercise pmrep archive creation with help texts.



Copyright (c) 2020 Red Hat.



"
"passed","Thu Jan 29 19:06:28 UTC 2026","Thu Jan 29 19:06:32 UTC 2026","4000","","debian11-container","","","","QA 058","PCP QA Test No. 058

pmval busted for metrics with (a) incomplete instance domains, and

(b) an instance domain of PM_INDOM_NULL?



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 21:08:08 UTC 2026","Thu Jan 29 21:08:10 UTC 2026","2000","","ubuntu1804-i386-container","","","","QA 1977","PCP QA Test No. 1977

Exercise pcp2opentelemetry HTTP POST functionality.



Copyright (c) 2025 Red Hat.  All Rights Reserved.



"
"passed","Thu Jan 29 20:45:34 UTC 2026","Thu Jan 29 20:45:35 UTC 2026","1000","","ubuntu1804-container","","","","QA 1483","PCP QA Test No. 1483

look for bad syslog entries



Copyright (c) 2024 Ken McDonell.  All Rights Reserved.



check-group-exclude: pmlogger_check pmlogger_daily



"
"passed","Thu Jan 29 19:14:53 UTC 2026","Thu Jan 29 19:14:54 UTC 2026","1000","","debian11-container","","","","QA 144","PCP QA Test No. 144

pmlogreduce data values



Copyright (c) 2002 Silicon Graphics, Inc.  All Rights Reserved.

"
"passed","Thu Jan 29 20:40:04 UTC 2026","Thu Jan 29 20:40:05 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 1294","PCP QA Test No. 1294

Exercise bad input error handling for MMV labels.



Copyright (c) 2018 Red Hat.



"
"passed","Thu Jan 29 20:21:49 UTC 2026","Thu Jan 29 20:23:19 UTC 2026","90000","","ubuntu2004-container","","","","QA 1128","PCP QA Test No. 1128

pmie retry back-off for bad metric



Copyright (c) 2017 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:39:20 UTC 2026","Thu Jan 29 20:39:22 UTC 2026","2000","","debian11-container","","","","QA 1258","PCP QA Test No. 1258

Exercise Linux kernel PMDA /proc/pressure metrics.



Copyright (c) 2019,2023 Red Hat.



"
"passed","Thu Jan 29 19:46:20 UTC 2026","Thu Jan 29 19:46:36 UTC 2026","16000","","ubuntu2004-container","","","","QA 557","PCP QA Test No. 557

pmie problems where metrics not initially available and later become

available



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:57:15 UTC 2026","Thu Jan 29 20:57:17 UTC 2026","2000","","debian11-container","","","","QA 1572","PCP QA Test No. 1572

pmlogger_rewrite with zstd compression

... based on No. 676



Copyright (c) 2018,2024 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:46:33 UTC 2026","Thu Jan 29 20:46:33 UTC 2026","0","","ubuntu2004-container","","","","QA 1570","PCP QA Test No. 1570

Exercise compressed archive files - zstd version



Copyright (c) 2014 Red Hat.

Copyright (c) 2010,2024 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:14:21 UTC 2026","Thu Jan 29 19:14:21 UTC 2026","0","","ubuntu1804-container","","","","QA 173","PCP QA Test No. 173

variant on 171 for bogus ""No values"" for pmchart from a log



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:05:14 UTC 2026","Thu Jan 29 20:05:15 UTC 2026","1000","","debian11-container","","","","QA 680","PCP QA Test No. 680

struct padding/allignment for internal (PDU and archive) structs



Copyright (c) 2018 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:42:07 UTC 2026","Thu Jan 29 20:42:29 UTC 2026","22000","","debian11-container","","","","QA 1306","PCP QA Test No. 1306

Test pmdaopenmetrics label filtering, including optional labels



Copyright (c) 2018 Red Hat.  All Rights Reserved.



seq=`basename $0`

echo ""QA output created by $seq""

"
"passed","Thu Jan 29 20:39:33 UTC 2026","Thu Jan 29 20:39:34 UTC 2026","1000","","ubuntu1804-container","","","","QA 1346","PCP QA Test No. 1346

Some basic pmcpp sanity checks

non-valgrind variant, see qa/1348 for the valgrind variant



Copyright (c) 2021 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:45:02 UTC 2026","Thu Jan 29 19:45:02 UTC 2026","0","","debian11-container","","","","QA 451","PCP QA Test No. 451

Exercise basic global locking



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:43:29 UTC 2026","Thu Jan 29 20:43:37 UTC 2026","8000","","ubuntu1804-container","","","","QA 1429","PCP QA Test No. 1429

pmlogger_daily for new callbacks and autosave features

(loosely based on 530 and 338 and especially 532)



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.

Copyright (c) 2022 Ken McDonell.  All Rights Reserved.



check-group-include: pmlogrewrite pmlogextract pmdumplog



"
"passed","Thu Jan 29 19:42:35 UTC 2026","Thu Jan 29 19:42:36 UTC 2026","1000","","debian11-container","","","","QA 424","PCP QA Test No. 424

Test out instance handling for pmlogsummary



Copyright (c) 2010 Aconex.  All Rights Reserved.



"
"passed","Thu Jan 29 20:17:22 UTC 2026","Thu Jan 29 20:17:30 UTC 2026","8000","","ubuntu1804-i386-container","","","","QA 915","PCP QA Test No. 915

Test local daemon access override settings in PCP_SYSCONFIG_DIR



Copyright (c) 2015 Red Hat.



"
"passed","Thu Jan 29 20:21:44 UTC 2026","Thu Jan 29 20:21:45 UTC 2026","1000","","ubuntu1804-container","","","","QA 1090","PCP QA Test No. 1090

Reproduce https://github.com/performancecopilot/pcp/issues/14

originally, but since then exercises context re-connection in

the PMWEBAPI.



Copyright (c) 2015 Ken McDonell.  All Rights Reserved.

Copyright (c) 2019 Red Hat.



"
"passed","Thu Jan 29 19:36:41 UTC 2026","Thu Jan 29 19:36:41 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 363","PCP QA Test No. 363

checks pmlogsummary error reporting



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 19:48:22 UTC 2026","Thu Jan 29 19:48:35 UTC 2026","13000","","debian11-container","","","","QA 506","PCP QA Test No. 506

check 2^31 volume switching for pmlogrewrite



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.

Copyright (c) 2012 Red Hat.



"
"passed","Thu Jan 29 20:56:34 UTC 2026","Thu Jan 29 20:56:36 UTC 2026","2000","","ubuntu1804-container","","","","QA 1791","PCP QA Test No. 1791

Exercise pmrep additional metricset handling.



Copyright (c) 2026 Red Hat.



"
"passed","Thu Jan 29 20:37:22 UTC 2026","Thu Jan 29 20:37:23 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 1244","PCP QA Test No. 1244

pmlogextract emits TI records every 100,000 bytes of output?



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



check-group-exclude: iostat

"
"passed","Thu Jan 29 19:04:03 UTC 2026","Thu Jan 29 19:04:25 UTC 2026","22000","","debian11-container","","","","QA 025","PCP QA Test No. 025

pmcd reconnect and error propagation



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:04:49 UTC 2026","Thu Jan 29 20:04:49 UTC 2026","0","","ubuntu1804-container","","","","QA 756","PCP QA Test No. 756

Run the test harness for perfevent code.



The test harness is designed to check the correct function of the

internal perfevent function calls.



Copyright (c) 2014 Joe White



"
