host1=ec8d4ba6f8cd
host2=ec8d4ba6f8cdsuper
=== /etc/hosts ===
# Hacked for QA/430
#
10.88.0.6	ec8d4ba6f8cd pcp-ci-debian13-container
--- /var/lib/pcp/tmp/pmlogger/603264 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.5/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603321 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.6/20260306.00.52
pmlogger_check
initially pid=603066
Victim pid=603066
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       603066       1  0 00:52 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -N -P -d "/tmp/430-600964.1" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
Connected to pmlogger on port 4330 at local:
pmlogger [603066] on host local: is logging metrics from host ec8d4ba6f8cd
PMCD host        ec8d4ba6f8cd
log started      Fri Mar  6 00:52:18.264456034 2026 (times in local time)
last log entry   Fri Mar  6 00:52:18.264456034 2026
current time     Fri Mar  6 00:52:19.574711334 2026
log volume       0
log size         1056
+++ /var/lib/pcp/tmp/pmlogger/603066 +++
4330
ec8d4ba6f8cd
/tmp/430-600964.1/20260306.00.52
pmlogger_check
Check ...
Start [check]: 2026-03-06 00:52:19.627627743
Called from:
systemd,1
  |-agetty,77 -o -- \\u --noreset --noclear --keep-baud 115200,57600,38400,9600 - xterm
  |-apache2,19161 -k start
  |   |-apache2,19163 -k start
  |   |   |-{apache2},19166
  |   |   |-{apache2},19168
  |   |   |-{apache2},19169
  |   |   |-{apache2},19173
  |   |   |-{apache2},19175
  |   |   |-{apache2},19177
  |   |   |-{apache2},19179
  |   |   |-{apache2},19180
  |   |   |-{apache2},19184
  |   |   |-{apache2},19186
  |   |   |-{apache2},19188
  |   |   |-{apache2},19189
  |   |   |-{apache2},19191
  |   |   |-{apache2},19194
  |   |   |-{apache2},19196
  |   |   |-{apache2},19198
  |   |   |-{apache2},19199
  |   |   |-{apache2},19201
  |   |   |-{apache2},19204
  |   |   |-{apache2},19206
  |   |   |-{apache2},19210
  |   |   |-{apache2},19212
  |   |   |-{apache2},19213
  |   |   |-{apache2},19215
  |   |   |-{apache2},19216
  |   |   `-{apache2},19217
  |   `-apache2,19164 -k start
  |       |-{apache2},19170
  |       |-{apache2},19171
  |       |-{apache2},19172
  |       |-{apache2},19174
  |       |-{apache2},19176
  |       |-{apache2},19178
  |       |-{apache2},19181
  |       |-{apache2},19182
  |       |-{apache2},19183
  |       |-{apache2},19185
  |       |-{apache2},19187
  |       |-{apache2},19190
  |       |-{apache2},19192
  |       |-{apache2},19193
  |       |-{apache2},19195
  |       |-{apache2},19197
  |       |-{apache2},19200
  |       |-{apache2},19202
  |       |-{apache2},19203
  |       |-{apache2},19205
  |       |-{apache2},19208
  |       |-{apache2},19209
  |       |-{apache2},19211
  |       |-{apache2},19214
  |       |-{apache2},19218
  |       `-{apache2},19219
  |-avahi-daemon,17682
  |   `-avahi-daemon,17683
  |-containerd,13618
  |   |-{containerd},13620
  |   |-{containerd},13621
  |   |-{containerd},13622
  |   |-{containerd},13623
  |   |-{containerd},13624
  |   |-{containerd},13625
  |   |-{containerd},13626
  |   `-{containerd},13627
  |-cron,13877 -f
  |-dbus-daemon,67 --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  |-dockerd,17058 -H fd:// --containerd=/run/containerd/containerd.sock
  |   |-{dockerd},17059
  |   |-{dockerd},17060
  |   |-{dockerd},17061
  |   |-{dockerd},17062
  |   |-{dockerd},17063
  |   |-{dockerd},17064
  |   |-{dockerd},17065
  |   |-{dockerd},17066
  |   `-{dockerd},17067
  |-exim4,18686 -bdf -q30m
  |-htcacheclean,19262 -d 120 -p /var/cache/apache2/mod_cache_disk -l 300M -n
  |-memcached,17344 -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
  |   |-{memcached},17347
  |   |-{memcached},17348
  |   |-{memcached},17349
  |   |-{memcached},17350
  |   |-{memcached},17351
  |   |-{memcached},17352
  |   |-{memcached},17353
  |   |-{memcached},17354
  |   `-{memcached},17355
  |-pmcd,598841 -A -T 3 -C 512
  |   `-pmdaroot,598848
  |       |-pmdadm,598889 -d 129
  |       |-pmdakvm,598888 -d 95
  |       |-pmdalinux,598865
  |       |-pmdaproc,598852 -d 3
  |       |-pmdasample,598859 -d 29
  |       |-pmdasimple,598903 -d 253
  |       |-pmdaxfs,598856 -d 11
  |       |-python3,598870 /var/lib/pcp/pmdas/nfsclient/pmdanfsclient.python
  |       |-python3,598894 /var/lib/pcp/pmdas/opentelemetry/pmdaopentelemetry.python
  |       `-python3,598890 /var/lib/pcp/pmdas/openmetrics/pmdaopenmetrics.python
  |-pmlogger,603111 -h local: -d "/tmp/430-600964.2" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,603159 -h ec8d4ba6f8cd -d "/tmp/430-600964.3" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
